GTIN,SKU,Product_Name,Price
10069183,U7JJ7RGL,Passport,84893
76792461,LR3HXVYM,New Beetle,23896
53021499,ZBVR40WS,Camaro,32404
18460509,JOMW92UL,Forenza,24923
19712444,QGBFDYOV,Range Rover Sport,36651
30472935,TCCVYZUA,Sunbird,92046
55017698,GJ4MPPJ8,Carens,82818
58998959,EFYAWGJ3,Rally Wagon G2500,59909
67415191,OST9HA1H,Laser,10171
12809966,OWEM4TWG,Prius v,20669
76683433,5K24S831,Sentra,44264
84021245,AGMRZEOA,Pathfinder,63326
41728808,NQMGQOGA,Mustang,51907
29053564,348A3QS4,Intrepid,90331
18865881,14GBJP46,Beetle,10548
64806530,LD0F6FS2,DeVille,7618
20216409,CQL2SBFB,A6,91585
81134292,EIEDPPPV,Mazda6 Sport,48798
36772228,W2J2ZL6F,New Beetle,11626
68338989,HOCKKQ47,Navigator,74044
44733892,SZM73BQD,Freelander,7685
39627778,5MK9GKFK,Passport,83909
17363300,WV3ZIPDL,Jetta III,25707
16519906,NYAWCMK7,VehiCROSS,55952
42900210,DNPZ0TQX,Topaz,3311
38470382,PMUIVW97,Catera,7950
60464459,0DYMQLFT,Equinox,85321
32693885,2VJJ4VQG,Leone,60586
85096229,MLQO309T,Navigator,34181
79555695,PIM3EO7I,Express 2500,53482
80292568,8FM169DY,Grand Prix,76059
93532421,QMNT513S,Integra,46925
60090764,ZJO0B5G7,612 Scaglietti,42396
34641036,CA7VFQAQ,Truck,1139
69391341,8MKASWUK,S2000,70894
82066944,XKJDX99U,RL,28233
92543861,SAA1VJ5D,Avalon,65913
34525783,6640W1WA,H1,85771
89949680,G3IA66GL,Silverado 1500,34622
68049209,29QR38JV,Suburban,42151
60024398,Y7QEPQXC,Quattro,51470
66062153,2EWAJ67C,Express 3500,48124
62332301,5K5C2TLQ,300ZX,66231
91637125,7FG8TVHQ,Ascender,11625
85113517,7P1WDYNY,Camry,37937
20607731,RTLCO98X,Panamera,32391
72566787,RYJLYAQW,Loyale,79793
50213626,SNBC0QEE,Camaro,63175
29822362,79O7W18Y,7 Series,25526
61620439,N0DLLBY8,Grand Prix,82181
94315238,DA4VI3YM,A6,46115
21327766,T6V3JWL1,Mustang,85487
87420814,C9QHKIZ6,Prizm,59555
23307546,9N0O4F30,Express 3500,27906
94111748,OMJ4WTWO,Tracker,17521
29249452,SL49UGDC,Mustang,48987
23310225,FMX0D93J,Explorer,81792
66156444,4WCB1M03,Ranger,60455
21653636,C0YXPQ4E,Daewoo Magnus,8270
80408720,S77DW95G,Town Car,45979
68167153,D5F0FPDP,RX-7,78417
70787859,SKVX5TMW,Diablo,71360
35194956,ZK6E47NX,Mountaineer,64385
30267165,W1JGWTBQ,Astro,64004
28496206,QCDSMYPN,Safari,11932
33773675,Q5S07RJL,DeVille,32637
66951471,X92TUY1J,LeSabre,21443
18655132,7YY96Y8X,Terrain,42285
40007479,HO3PKJEE,Wrangler,52681
13718686,F76NX9I4,Mazda6,10053
72101450,77QXU124,DeVille,2141
61120739,C5LZY3IL,B-Series,42260
91225459,WGMFOTEF,LX,32794
27218558,MFSLF52S,Sable,18096
16997675,QK7M1CB3,A8,8687
79646422,6NV6NL2J,Thunderbird,52346
62766693,N4BBWY24,MX-5,4096
52920757,P4C49V1K,Corvette,3029
70379821,G4TA7BMZ,Fairlane,31818
82484381,7B7J74QG,Pajero,36264
96374995,38GHKXH9,Sportage,71041
93653941,08DA6J5J,530,50467
44989117,830AORG9,RX,69862
36596170,738Y02KY,Solara,44065
60127181,5LD40GD7,GTO,48648
25259208,YCVO5XF4,200SX,50986
39132428,7SRGXN8B,TSX,10115
40362191,B392VQWP,Dakota,43178
63874808,C7S29710,Town Car,64633
18842862,DY3K3OUE,Commander,16253
53965732,I8PV1HVZ,Avenger,42336
67084924,Z5YIVDZZ,HHR,85286
68147022,QWET8YSR,1500,32963
75188458,RXA726LF,626,28750
48712373,PB0TA5TE,Taurus,35152
79942857,AERQ60LW,Range Rover Sport,84038
75005959,BIMDSQZK,QX,17879
16243854,0ADNJN5G,Camry,19724
31797630,GH5Z5PVD,Yukon XL 2500,27311
81429690,951S0Z0H,Cooper,54455
72517310,V7Q20PGP,Windstar,11680
11880402,DLYIYWGN,Escalade ESV,71303
85332068,C9IEUA1S,Acadia,37666
55401734,EDRGX2TM,Sierra 1500,23222
65869806,74SRNYVZ,Sable,58935
82450869,AKXAA5R3,Milan,56752
31531164,U0EXSZ5S,Sunbird,52837
11918207,BRFKCJDZ,MR2,43276
95954893,L9UN8OU6,Grand Marquis,79283
34058704,D2POMUB0,Escalade EXT,16799
20472656,PNAG6SX0,LX,78756
66762500,HMBLYFTY,Grand Prix,77407
27300892,83WLM18H,Trooper,49782
21411011,24AF0JGY,M Roadster,31316
14818449,5DMB8B9L,MX-3,45905
31811906,O8QIPMS0,Supra,49491
63737135,TM8UG8TS,Maxima,84873
98621701,HAS7EI02,Ion,57124
40605865,DDA5TDDK,Sunfire,66593
44588871,WSS4M5UK,ES,82895
50054547,Z5SR7XJW,Milan,24902
49821144,KN5EO2XP,Escape,18666
72110967,A3KHLWWX,960,13902
25482831,33KNQU05,323,49475
19724231,9WER3SE4,Corvette,56447
55263302,PC3GAKB6,SX4,61893
17644862,48BBNPUB,R-Class,9640
60840744,02BARLDW,Rabbit,81539
73353892,VLS0ETVY,Sedona,12993
96947770,R9YWAH3T,S-Series,51477
40344099,JI07E2L9,Suburban 2500,98182
23608888,J1JU397P,V8,91031
65521870,26XQAL38,911,75545
97250502,SFEUXA9U,Routan,76665
33201008,WV33RW73,Yukon XL 1500,36747
45055005,7FVSH900,RSX,93736
85656339,PEHYO66P,W201,18014
88319204,YC64MOBI,3 Series,42342
22347643,TBZGOD80,IS,46582
51725574,8TW7BWBI,Hombre,91515
29055018,I6PW7DNG,Neon,60656
89992285,6YCS7Q9H,Civic,24611
90741492,HOLWSI4E,DeVille,99004
62609351,AJIBKZJQ,Breeze,14551
93106977,NU0GRSQP,Corvette,50433
37102699,UZ7OCEUD,Tiburon,15664
76306803,5GJC07NB,Fleetwood,40311
69515954,3UY6CMPQ,Navajo,45128
56333980,N9PD4JU8,S-Class,78307
33966245,ZKSVASWG,Spectra,35225
30704701,MHNY6WP9,FX,18413
10581697,RZK2D2GL,Cooper,13618
18580601,K4M7B8X5,Mustang,13465
38934924,VE3AX22H,Grand Prix,82058
26262416,QO6I1YO1,W201,94877
93398168,71SHZSSP,Prius,19543
38621089,VYMRDUG0,Econoline E150,42755
36487528,OCFGVS1Z,Cougar,96266
87075168,YXXAJKBC,Fusion,23944
92571593,DTB2F89E,Aerostar,33129
70917042,DYP1FU1N,Ram 3500,21014
78382500,SB8EMFZD,A6,8100
10299842,P2LHSNHF,5000CS Quattro,64486
28907357,1SP1XBMW,2500,99376
23337258,ZAOF6WEN,PT Cruiser,50109
53976297,3YXMZZHY,Chariot,28728
59182572,7YR9HN6P,Savana 2500,76894
60666386,OJPRKTUN,Neon,94496
46797506,ZO6E8GMV,Tacoma Xtra,65358
69607902,E658E09T,1500 Club Coupe,90887
86059269,AQ2BGQ06,Veracruz,6592
60344640,GA1AP283,Ram 1500,15814
12811292,VHUK2JAF,Silhouette,72209
88607992,RSULWYRQ,Grand Prix,76105
38229314,KMLWK3LX,G,92461
34318185,7AGT1WY2,E-Class,54066
64369751,W5GZ7ZD9,350Z Roadster,81268
49082138,1ZGG7RKU,V40,87750
27671102,UH5KS6ZA,Cutlass Supreme,45650
19074614,JAVKK37K,S4,98145
59679193,JGFP1KUW,Ram Van 3500,67556
80855440,U3QT6E4X,T100,67007
76270576,G48IZ3ZG,Beretta,5062
82096802,H05TGDKE,S4,69243
18782806,5QPJ9IX7,XL-7,12157
50620218,XN01WUAA,Thunderbird,30441
77654359,KUERAH1H,TrailBlazer,77786
19891611,9WQV7RTQ,100,93774
41798864,CWXU94CT,Econoline E250,40619
99953276,575FGC2S,530,63608
91905107,AVK233X1,Interceptor,33558
51015806,B70W7R9U,Town Car,17063
76154746,HDPI9PC3,Altima,87962
35429841,89AQO6F3,Esprit,33129
61886628,K01HY8Z1,Continental,36988
25673387,HBADH45J,SL-Class,76265
24806986,DR2RXL38,929,76025
77718493,92OTLLIJ,Tundra,21266
23391217,ZFGI854W,Corrado,80410
67709536,0FHB0BYE,Escort,40671
75894930,S7E8BPP5,Tundra,80699
54462700,N73IM23U,9000,76231
83097023,8T2OCUQW,Capri,58507
83925032,WFGTJ3P3,Diamante,32559
89933397,7DTKE5E8,XL-7,50041
61298409,GOD0RI0G,Mentor,70793
67856667,JBZJD0RP,TL,13340
11784601,LY7MO6BT,300M,52096
77955836,CDIZ7MLO,Mazda3,35844
49378642,C0R59ZCX,H1,78396
68333548,X54PNL8I,SRX,17401
86785260,4TGBA5NK,GL-Class,74880
69064283,Q2LTU6F0,Suburban 1500,72527
15892805,4797V4Q1,Ram 1500,46272
46106078,Z7EF9LT6,Camry Hybrid,63773
22491320,RT0SVAZJ,Astro,45296
94575911,R52L6B9C,S-Class,68465
84300755,PAJT7IFT,Traverse,68093
89009297,NYACOF5I,SL-Class,61602
72379766,6BRESGFN,PT Cruiser,44325
43320627,3K2OC8T8,Spectra,44821
38905932,8PBTEHB1,W123,73254
27151184,ZIPWKDDH,Elise,88137
60887180,0Y19LGQN,Bonneville,14230
25229672,8JOS2XNS,Intrigue,6735
69515848,RUS92ZHV,Range Rover,9054
39583882,JTWA0N97,Bonneville,81215
84607987,YQ8M0ENP,MX-3,9783
96383717,0VBW1JMT,Savana 1500,39849
17426237,TBU3LJUN,G-Series G20,63221
98677753,E57K1D7U,Forte,72654
40641396,KC1JLLRY,California,12839
87113866,8OH4HK73,Carrera GT,33171
34925465,IHZ9G3AG,Accord,4371
90253496,XPQQY48H,Econoline E250,32651
96077571,71K53D4T,Tacoma Xtra,81406
40924038,V1LCJH7X,LS,42026
46372922,VCH4UJU4,Freestyle,48308
53156737,AEZFOU3T,B-Series Plus,11935
91981229,0JU8RW7Q,Colorado,59613
63702700,YH64GW8R,1500 Club Coupe,41291
91501739,SGG4ZS16,Envoy XL,97231
70257358,5YIF17WZ,Fiesta,2888
91400626,CICHE1PU,Taurus,45423
84223233,J9T6K5R1,XL-7,87221
46740402,T3EOVHKA,Sonata,45346
60694226,QTL1S1EW,SLK-Class,51366
25122122,4ABUOCKO,Chariot,10469
17725496,Z5RGAJ4Z,Elan,8518
13265979,RM1SVX3U,Samurai,22772
66778570,TT8LB5V4,V70,28371
16508802,P2YPA40E,Pajero,34950
21277682,0F7LVBLD,Pathfinder,72915
45373828,7KSZ537A,XG350,63188
70236586,M79A4RNG,TrailBlazer,86779
92562999,SE5WQ4TO,Rio,15395
93343765,IXACMT6D,8 Series,41330
84033557,CNDNTF6B,NSX,74837
94765448,42DOQK0E,F250,57952
70759352,T6XCWRE8,F250,22069
84229362,E60A3WHD,C-Class,33937
65942100,JBPYZFBX,Sable,19407
78333738,0K5XIC9X,Envoy,24839
42372552,VA9SXWO2,Alero,92128
78929292,X4B3XIB2,Ram Van 1500,20655
30922800,9LX5MHBU,Aspire,75441
72699423,DCAJRNDF,Sundance,88190
40138621,YYDGSRU8,Sedona,11748
81713786,PT2T0TET,SRX,2927
22567892,7PVB7VY3,Clubman,96182
46907020,AB2YPAO2,Familia,85710
47732128,4R1LTAN2,Ram 3500,1883
45406833,1RSUCOJG,9000,82349
26605809,IV97XRPQ,Celica,56187
23201465,FYJ6IETM,Roadmaster,7103
63646588,Q72H28U2,RAV4,44022
22536845,URW0EFNK,Summit,5972
82119167,I84EXW6S,Sunfire,24443
74649444,688AYXPZ,X5,85196
43362464,8197QQPT,Galant,33550
51471764,LIBKI8Q3,Econoline E150,59058
40466035,96WMS9DA,Savana 2500,90890
90188632,VWUFWFA2,Fairlane,78390
25457013,EZ2VC8U3,Continental Flying Spur,30674
93415028,JZZF1QSY,Dakota Club,90898
68520354,4M6G9W5M,Ranger,86090
72868386,IPJ50K98,Sportvan G10,84920
73648699,2JK1MRHP,Town Car,81909
42651645,C8OW5R7B,Sonata,98002
87307765,EEB9D5HI,QX,64485
76026894,JFCHUFMW,Silverado 3500,4246
38224037,C3EB18BJ,Ram 2500,86583
65719351,W3EDWIJL,Grand Cherokee,91885
67638730,INM42CSY,Sentra,26550
33977764,6LGA022B,Camaro,91427
54235107,JEMQKBRY,X-Type,48231
15250995,2WK1OOSE,Defender 90,64254
82898847,UTZDMGAZ,tC,5799
44836426,RFM2DQIZ,I,56962
15883350,SECTHS3L,Challenger,6666
93142233,U7P6LX61,Cayenne,23762
14026828,FTM60ZDJ,Tahoe,89496
38086047,Z0Z2I89B,Capri,60092
42195480,4UC27OCN,B-Series,23436
44748889,GF19UKOS,7 Series,85837
46230595,KQ7XMZXV,SLK-Class,75141
23917958,T62RNDXG,Cirrus,3491
16392445,JKEMG1AY,Stratus,41767
66236508,Y964HUY6,Jetta,56971
58564030,NKRMYX4K,Sentra,45173
55498741,AHWB53KC,Breeze,95909
55969316,PXXUMMJR,Continental GT,83196
73564277,NR4H2H0Y,I,95290
46233430,2HPH0DTX,Land Cruiser,15987
35128212,BCZWNS97,Civic,3212
92203628,VGAIJR4M,Acadia,5125
83775849,CSHOVOH3,Toronado,31028
42973162,LC7BY9TI,G-Series G30,94785
63863798,DU6DZ0MQ,BRZ,81259
27113783,FJG94C2K,Sable,95578
56977671,OVA5FEVC,F250,43345
16388347,QBMPT83C,760,85181
90547801,06KZJI1L,Azera,89025
79842103,CTUU2NQ9,Firebird,14343
19704714,OWHEJWVG,Savana 2500,75698
27579531,35WHT2RV,Insight,57752
83603544,174J4N9D,1 Series,41198
45793907,PLD8HYBR,Reno,21714
46274183,3IK3BMSL,Echo,46226
75937567,8TMGQSSH,CLS-Class,15413
32097245,S4BDER9E,X5 M,63386
14247311,RQO5PKYM,Amigo,17049
77664533,0NO6JSTS,Tracker,75847
95848857,J4L2K673,Ascender,19913
11642570,TM8I0TFZ,Azure T,54148
97059511,OY61ZF3W,Armada,22493
38389091,V2DLNG67,Sebring,20673
77311178,B62UVGJ3,Countach,44875
16584625,0A8EQIDC,Town Car,90420
93901379,WYJJTBVR,QX,88415
83363677,2M0SVZ1N,Charger,94055
17909720,DCMHXOQT,Avalon,14974
69496968,4F2U0JDS,ZX2,6791
11808086,T3ZJ94IP,V50,9270
14712844,CNSAXEUO,M-Class,3593
95778140,1136Z95Q,R-Class,30505
87748138,29WM3WIE,W126,14950
30822815,ZK3FXVGA,Defender,78389
64195591,E8P0WVBG,Passport,58245
53809988,WB2GMQAN,Accent,84854
74266610,ODDPAOKK,Explorer,27626
61173059,0HCTRQNK,Elantra,6385
94265531,BO46B7RV,Countryman,37027
46375027,TYPZHYJZ,Fit,73264
12830115,DK8YXJNN,Continental Super,56796
73652058,H4UAMFRW,Celica,67666
43689978,EANGVCG3,Land Cruiser,85498
83912835,UKJIL4ZU,Monterey,80653
68884420,WH02C1K9,Optima,72906
86161239,0RQ0U65B,LHS,14560
49537758,7M7Q6OYV,Boxster,53504
38829295,N1UC60FR,Range Rover,78005
25084706,OXB5U8HP,Tundra,43096
32369456,PRAQADKX,E250,90488
17111435,9VU1NC03,Leone,79516
45937413,ANU0R6Q4,M3,91435
57211300,DYSDIAWQ,Taurus,31224
19309453,75WB08MP,Grand Caravan,81286
73545849,DWPBNAOM,Range Rover,57103
27410382,JD2TWPUG,Envoy,54316
55446395,EIRCOFKY,Z4,24644
20237782,8JXW4MG5,Grand Prix,67379
57683428,SHXG4O0Y,G-Class,32282
60985723,4VS36VSS,Sable,69391
70797248,8TJIIVG6,Boxster,24853
95304774,28424NUG,Solara,58590
92047513,UVSEJBJ0,MX-5,86879
65392650,8BKNF3OB,Dakota,33330
74737770,SICZHRAD,F350,43114
17049637,2BUAXRYG,Expedition,94369
88297355,UX2QS1LG,Colorado,21203
59420847,NTTM0E8U,Concorde,43969
21162404,4FSOZ39O,7 Series,75853
57297294,3KMSGUJ1,LS,91956
90689099,LB80P6UN,S60,43810
64998797,A1PDVG23,QX56,80114
70732229,964YRDRR,Bronco,39988
54736473,83I7P4QR,Fleetwood,57321
11300603,H7LI5HNA,E-Class,76134
53272724,YSH2I6Q1,1500 Club Coupe,8603
62452513,YFJM3ARH,900,12500
93289762,RR2F8DWW,S-Class,50502
25279795,CPR5LMVK,H2 SUT,57716
42268525,L3UDSM0V,B-Series,20877
30867940,RBSK5VF4,Maxima,60512
70201983,J40SXW6L,Celica,86382
20837545,6JKAXKQK,Escalade EXT,58146
47880606,CJSEGRS8,Thunderbird,19761
31936770,GV9CP2L4,DeVille,18002
32135976,8BH049LO,9-7X,25512
58741046,EGHRGV5D,Ram 3500,37750
29402024,PT2R81JM,Soul,41649
91009469,P9UGL1T8,900,37378
66646790,E553EWF9,911,31094
98893465,FM14O6U3,M5,18556
56003997,5M1IXK0H,GTI,11125
90716709,ZZ5IQNUD,Type 2,72146
34558985,L349D4QP,Ram 1500,88751
58270329,IAA154T9,EV1,57813
98894183,2Y3H40LK,1000,21596
54188286,D76QD115,Routan,44218
90664324,OR7NFUIR,Regal,81971
80001335,A8V8WHNM,Miata MX-5,96329
93920248,A2HAMKPY,LTD Crown Victoria,17828
40283500,0UABS6GW,911,40735
68473161,LEKNWYW3,Focus,53550
20251510,VFX7HH2F,Accord,1529
60502619,5395L5UF,88,65823
65803884,L5JTTBXD,Sierra 1500,70225
68847120,3JOHJCCH,2500,32344
97908124,8W7ZIVE9,Camry Hybrid,89294
71663419,6ARJBOQT,TL,29920
60819393,MO0TSCW0,Continental Flying Spur,12982
31338775,76FVNFJ9,R-Class,7134
80691234,R1JQHG64,Galant,67681
21186938,VB8JZKHZ,Corvette,65463
73986180,TRXMUEYV,SLK-Class,22092
29342289,RH4UO7XZ,Ghost,6266
74392754,W6U1JKQS,Ram 1500,25962
42885839,JWYHLEAO,Aurora,23823
57806184,XFL3D7HS,3 Series,94308
95832155,WQ00LOXB,H1,79878
33935125,K4JBSJOX,Continental,4776
23528676,GI140W5C,E250,83601
85239064,ASIWH2RQ,626,11202
20034698,YKX9Q9XM,Cooper Clubman,60327
48899403,I6GX78IA,240SX,92369
86677483,YNC0C3PT,CLK-Class,23338
20612217,IKMW5682,Topaz,6830
40796519,K4JAXMRB,Continental Super,94623
50782514,IH3TTUGI,Grand Marquis,31714
56286663,9FGATPVM,Acclaim,73591
31883663,SE5PWVI6,S8,89006
82148041,C2JGOFDX,Diablo,12397
33221124,1XFREE90,Firebird,51774
33142046,VISTMSNK,Accord,48526
81657488,0LTYKBGH,Legend,92001
87547891,Z3BOXZUC,Taurus,35793
66398531,FNCX4FYM,Justy,85106
30563225,R4K7VGLN,C70,30595
63062035,E82F447B,Tempo,80245
38607125,YFVAB1C8,Excursion,46304
87347286,CS4KOW0M,Monte Carlo,87823
80956438,670VF083,XL-7,31240
25103771,H37ITG3X,GS,73525
72247940,M5EFSZR7,Grand Cherokee,36422
74464524,YO495RWJ,Golf,5490
39719764,HJEQ4JTH,Celica,84458
94195797,T47HZ29C,A8,68364
55747802,72S36614,599 GTB Fiorano,98992
65368176,GMRASTVN,Jetta,71832
48308215,3BVILTRB,Neon,65580
42976161,WU4L9FO4,Grand Prix,46050
18768203,2XTVY446,RVR,51718
42489252,Q9HM5Q7E,545,18676
80872226,ZMNYHSQI,Ranger,42830
48028339,TLB4XVPR,SLX,96179
65186463,HE4JBNI2,Tracer,93350
98848793,EGZO0EZE,Spectra,42628
68446768,BR4PZTMK,Elantra,85852
93171401,JD9TNVJ6,Tundra,87665
22367340,1BN29I2E,Stratus,67596
58278504,AT9F4BWQ,Stealth,22953
70490351,U8OSB6OV,Prius Plug-in,61226
12331944,VQ2V0T93,Civic,36787
27715461,F9I6W2YC,Z4,42597
55777576,DL2PBR69,Colorado,28098
15398171,MHGBJRNH,ZDX,7472
51915244,YCDB4PKN,DB9,3997
43302546,XATYQJCS,Yukon XL 1500,73534
58108665,CC5UW054,Insight,28802
78147792,JXBB6C45,400E,39330
90437700,P17PMN3Y,Savana,56397
90903728,OGLVI0SA,SC,7746
58551875,9QGQS3MG,Sable,44039
18224201,X7BREWQH,5 Series,63856
47272454,HK6N8VGB,Maxima,24951
42107117,0G6PVPVT,Truck,23455
76823898,ETLZZG6E,Cayenne,77890
81140902,O0Y8PO64,I,95215
37013925,RMO4MWJL,Taurus,96602
92500072,TT7UFWI4,Fifth Ave,15916
95097661,AQUA2KTA,Azure,60539
59356834,CNOPHBBH,S-Type,11344
57153729,RD8VGFAG,Trans Sport,83564
98498014,ACM4MQ9B,Bronco,73343
75343513,8HEJXY4B,Aurora,77013
64331528,M84EVF0G,Civic Si,66500
61453412,1NLHPM9D,GTI,76786
88578950,U2VBDDA8,Express 3500,42923
90694003,U40ZH036,Talon,9964
29005140,99OXLKGG,EX,85958
27131329,GTX2UXNP,GTI,39043
23887469,4GSVKRLG,Escalade ESV,73052
40273172,OOIR999E,Expedition,5919
25558757,167VGVPJ,GT350,48065
48321997,F6BK7K40,Outback,69072
41858531,DDB28S12,S80,40932
71191188,IPBJ6HJ1,Equinox,18731
69685486,LWCWBHD9,Sidekick,45032
17976728,HTLMSBLQ,Defender 90,12531
54966220,G3W9YH0R,9000,38262
52049706,DDX7BCIX,Aerio,81641
20318019,BSI6Y7PJ,S4,2817
39476246,6RNQ6ZGT,Corvette,15973
35458535,N3GCH7FB,Falcon,19876
97708462,XBKPZEIN,Matrix,89843
30279598,FYZDKXC7,Suburban 1500,89014
87897393,AUE00HBO,Tracker,82440
65117712,2S07WKWD,Camry,34812
56243460,C73BKL6L,F-Series,53171
77063627,M62S0CBA,Suburban 1500,93669
89480156,7KHA67QF,940,55445
78283778,PHZ907DJ,Suburban 2500,48544
60159994,32SR253P,Aveo,98094
45586209,M3G6431L,Dakota,76687
69210434,V7ANGI2Y,Express 2500,30606
76069856,63RLWZDC,Compass,72915
97762227,JXTFSDRO,62,60603
25773770,GZXQIXMU,Accent,2119
50070712,JRTE3Z81,Corvette,96787
10738147,YZWKGDG3,Sportage,89555
56265812,BX8C4YLK,Lumina,60202
54819617,8HN1R4N0,F350,59252
64067241,7C0UUI52,9000,63013
91080994,U0GAS6F0,Z4 M Roadster,60473
41328778,4VA2BDRN,Fox,83454
80999634,YWPIWSBY,RSX,98621
79793735,VYC3SYSW,Eclipse,34797
65373817,8HKIH6C7,Colorado,7174
30770888,LYX37SQ5,Maxima,26051
20571893,QPMTY13M,Caravan,31257
89992695,2GEMC07V,626,71307
41317192,3169V0UD,M-Class,3079
28901272,0IBFF9D4,RSX,83744
47177710,RAZXBPH6,Sedona,22515
86339405,32ZNYGO3,MR2,39640
30998021,M9DG7H3L,Suburban 2500,12953
83744689,ZW39T4HX,Ram 3500,7196
66863736,9VSBMZDE,Sierra 3500,74241
60829646,20JF233J,GX,58986
50915195,27KLBY85,Fairlane,93520
87187622,ONG199KY,Sequoia,68914
55339599,M70B0CM3,Camaro,61251
60127951,KKI5COOO,3000GT,40227
33284009,WGBZULEK,LeMans,59899
31516492,PJGBH4LT,Rapide,32812
13544379,4Y7ECMM9,Veracruz,63180
37127730,S1EDWXY4,Camry,25787
86411392,ELBA5X8R,Monte Carlo,92026
45078170,FS3K3MGQ,Gallardo,87516
71336715,EX5ERXZ1,Xterra,91795
28287867,37LN4VHK,Touareg,22190
29732391,RU1EZD32,Tribeca,66366
20252006,TTBYXV10,Bonneville,48531
47705815,SA0K2GGL,Explorer,75272
23571290,6DXPL5OP,MPV,29427
77645571,GHX7HVHD,Econoline E250,59929
34413136,0R4FOFY8,Space,55046
85610350,4MGX452F,Truck,95016
11064889,YP1P9ICH,S-Class,30025
53312039,BWHI59RA,Pajero,91392
30702605,C7V34UE8,8 Series,85967
67138283,W1BPIFEJ,Rendezvous,3328
26999033,F9FPZG1M,Firebird,1857
13772631,0BK0IUMW,E-Class,2142
92837122,Q0Q1A4ZO,Defender 110,53878
93998462,O34IK7MS,X5,45810
47695157,Y50O0326,Silhouette,43040
87031454,L2PC00FO,Ranger,13266
85100245,LWURUL0D,EX,54797
97380878,DOEZ4Y4E,Thunderbird,41290
67727301,32JDRJTC,Mighty Max,13659
48770959,0VWA180X,LS,58303
70357643,9XNB0M7K,Murciélago,34275
99808965,MGC7WAOT,R-Class,23986
68567449,T7C5TYYI,Cougar,54039
47176048,UBI10HRZ,98,96750
45796953,82JNZQKW,Tredia,15785
66747478,NXOJT4W9,Galant,57163
27998391,NAWZL8Q9,Aveo,19262
95258966,34J88GH5,ES,87035
79630086,OSC1V24H,HS,40698
82315825,59SYZ2GB,Murciélago,49606
85232929,6K7HQNLT,Cooper,88311
42269494,MQR2A9TR,Impreza,74833
31473248,C148S6AY,RAV4,12424
58477247,2YME35EL,Bronco,54446
18592973,9IPRDFY8,Protege,22506
90402365,PRBSWGR0,Ram Van 2500,93239
94648253,KUET11M0,Camry,66756
17071809,C9I1QHX7,Avalon,26185
15718700,9YE4PP75,GTI,28355
69477995,U8JOV7ES,Express 2500,30398
98424034,U335D4ZP,LTD Crown Victoria,67623
50882088,XKCYF68B,Sephia,75759
35437885,L12H8BLS,Corolla,15352
19343271,K0QLARYF,Solara,22520
11534896,FJNFI6C9,Xterra,41702
16693444,1YX553E0,Odyssey,79342
66772601,NG6LPOOA,Savana 1500,93777
37792438,3WU8FH9Z,GTO,14437
73129183,66YVZB52,SX4,95528
